,TSLA (NASD),,,,
Date,Open,High,Low,Close,Volume
6/16/2023,258.92,263.6,257.21,260.54,"167,915,649"
6/15/2023,248.4,258.95,247.29,255.9,"160,171,238"
6/14/2023,260.17,261.57,250.5,256.79,"170,575,536"
6/13/2023,253.51,259.68,251.34,258.71,"162,384,343"
6/12/2023,247.94,250.97,244.59,249.83,"150,740,523"
6/9/2023,249.07,252.42,242.02,244.4,"200,242,371"
6/8/2023,224.22,235.23,223.01,234.86,"164,489,739"
6/7/2023,228,230.83,223.2,224.57,"185,710,777"
6/6/2023,216.14,221.91,212.53,221.31,"146,911,576"
6/5/2023,217.8,221.29,214.52,217.61,"151,143,052"
6/2/2023,210.15,217.25,209.75,213.97,"164,398,372"
6/1/2023,202.59,209.8,199.37,207.52,"148,029,931"
5/31/2023,199.78,203.95,195.12,203.93,"150,711,736"
5/30/2023,200.1,204.48,197.53,201.16,"128,818,746"
5/26/2023,184.62,198.6,184.53,193.17,"162,061,496"
5/25/2023,186.54,186.78,180.58,184.47,"96,870,719"
5/24/2023,182.23,184.22,178.22,182.9,"137,605,054"
5/23/2023,186.2,192.96,185.26,185.77,"156,952,130"
5/22/2023,180.7,189.32,180.11,188.87,"132,001,430"
5/19/2023,177.17,181.95,176.31,180.14,"136,196,668"
5/18/2023,174.22,177.06,172.45,176.89,"109,520,332"
5/17/2023,168.41,174.5,167.19,173.86,"125,473,558"
5/16/2023,165.65,169.52,164.35,166.52,"98,288,792"
5/15/2023,167.66,169.76,164.55,166.35,"105,592,510"
5/12/2023,176.07,177.38,167.23,167.98,"157,849,625"
5/11/2023,168.7,173.57,166.79,172.08,"103,889,930"
5/10/2023,172.55,174.43,166.68,168.54,"119,840,693"
5/9/2023,168.95,169.82,166.56,169.15,"88,965,043"
5/8/2023,173.72,173.8,169.19,171.79,"112,249,449"
5/5/2023,163.97,170.79,163.51,170.06,"107,607,259"
5/4/2023,162.71,162.95,159.65,161.2,"95,108,492"
5/3/2023,160.01,165,159.91,160.61,"119,727,972"
5/2/2023,161.88,165.49,158.93,160.31,"128,259,744"
5/1/2023,163.17,163.28,158.83,161.83,"109,015,048"
4/28/2023,160.9,165,157.32,164.31,"122,515,812"
4/27/2023,152.64,160.48,152.37,160.19,"127,015,177"
4/26/2023,160.29,160.67,153.14,153.75,"153,364,142"
4/25/2023,159.82,163.47,158.75,160.67,"121,999,312"
4/24/2023,164.65,165.65,158.61,162.55,"140,006,559"
4/21/2023,164.8,166,161.32,165.08,"123,538,954"
4/20/2023,166.17,169.7,160.56,162.99,"210,970,819"
4/19/2023,179.1,183.5,177.65,180.59,"125,732,687"
4/18/2023,187.15,187.69,183.58,184.31,"92,067,016"
4/17/2023,186.32,189.69,182.69,187.04,"116,662,189"
4/14/2023,183.95,186.28,182.01,185,"96,438,664"
4/13/2023,182.96,186.5,180.94,185.9,"112,932,985"
4/12/2023,190.74,191.58,180.31,180.54,"150,256,278"
4/11/2023,186.69,189.19,185.65,186.79,"115,770,892"
4/10/2023,179.94,185.1,176.11,184.51,"142,154,637"
4/6/2023,183.08,186.39,179.74,185.06,"123,857,932"
4/5/2023,190.52,190.68,183.76,185.52,"133,882,493"
4/4/2023,197.32,198.74,190.32,192.58,"126,463,845"
4/3/2023,199.91,202.69,192.2,194.77,"169,545,900"
3/31/2023,197.53,207.79,197.2,207.46,"170,222,118"
3/30/2023,195.58,197.33,194.42,195.28,"110,252,238"
3/29/2023,193.13,195.29,189.44,193.88,"123,660,026"
3/28/2023,192,192.35,185.43,189.19,"98,654,635"
3/27/2023,194.42,197.39,189.94,191.81,"120,851,587"
3/24/2023,191.65,192.36,187.15,190.41,"116,531,584"
3/23/2023,195.26,199.31,188.65,192.22,"144,193,876"
3/22/2023,199.3,200.66,190.95,191.15,"150,376,373"
3/21/2023,188.28,198,188.04,197.58,"153,391,444"
3/20/2023,178.08,186.44,176.35,183.25,"129,684,359"
3/17/2023,184.52,186.22,177.33,180.13,"133,197,140"
3/16/2023,180.37,185.81,178.84,184.13,"121,374,453"
3/15/2023,180.8,182.34,176.03,180.45,"145,995,583"
3/14/2023,177.31,183.8,177.14,183.26,"143,717,897"
3/13/2023,167.46,177.35,163.91,174.48,"167,790,256"
3/10/2023,175.13,178.29,168.44,173.44,"191,488,872"
3/9/2023,180.25,185.18,172.51,172.92,"170,023,794"
3/8/2023,185.04,186.5,180,182,"151,897,763"
3/7/2023,191.38,194.2,186.1,187.71,"148,125,790"
3/6/2023,198.54,198.6,192.3,193.81,"128,100,106"
3/3/2023,194.8,200.48,192.88,197.79,"154,193,277"
3/2/2023,186.74,193.75,186.01,190.9,"181,979,154"
3/1/2023,206.21,207.2,198.52,202.77,"156,852,790"
2/28/2023,210.59,211.23,203.75,205.71,"153,144,912"
2/27/2023,202.03,209.42,201.26,207.63,"161,028,315"
2/24/2023,196.33,197.67,192.8,196.88,"142,228,105"
2/23/2023,203.91,205.14,196.33,202.07,"146,359,950"
2/22/2023,197.93,201.99,191.78,200.86,"191,828,457"
2/21/2023,204.99,209.71,197.22,197.37,"180,018,588"
2/17/2023,199.99,208.44,197.5,208.31,"213,738,549"
2/16/2023,210.78,217.65,201.84,202.04,"229,586,538"
2/15/2023,211.76,214.66,206.11,214.24,"182,108,581"
2/14/2023,191.94,209.82,189.44,209.25,"216,455,708"
2/13/2023,194.42,196.3,187.61,194.64,"172,475,452"
2/10/2023,202.23,206.2,192.89,196.89,"204,754,129"
2/9/2023,207.78,214,204.77,207.32,"215,431,442"
2/8/2023,196.1,203,194.31,201.29,"180,673,644"
2/7/2023,196.43,197.5,189.55,196.81,"186,010,325"
2/6/2023,193.01,198.17,189.92,194.76,"186,188,131"
2/3/2023,183.95,199,183.69,189.98,"232,662,023"
2/2/2023,187.33,196.75,182.61,188.27,"217,448,287"
2/1/2023,173.89,183.81,169.93,181.41,"213,806,323"
1/31/2023,164.57,174.3,162.78,173.22,"196,813,541"
1/30/2023,178.05,179.77,166.5,166.66,"230,878,807"
1/27/2023,162.43,180.68,161.17,177.9,"306,590,613"
1/26/2023,159.97,161.42,154.76,160.27,"234,815,090"
1/25/2023,141.91,146.41,138.07,144.43,"192,734,347"
1/24/2023,143,146.5,141.1,143.89,"158,699,056"
1/23/2023,135.87,145.38,134.27,143.75,"203,119,211"
1/20/2023,128.68,133.51,127.35,133.42,"138,858,136"
1/19/2023,127.26,129.99,124.31,127.17,"170,291,880"
1/18/2023,136.56,136.68,127.01,128.78,"195,680,318"
1/17/2023,125.7,131.7,125.02,131.49,"186,476,985"
1/13/2023,116.55,122.63,115.6,122.4,"180,714,119"
1/12/2023,122.56,124.13,117,123.56,"169,400,913"
1/11/2023,122.09,125.95,120.51,123.22,"183,810,771"
1/10/2023,121.07,122.76,114.92,118.85,"167,642,485"
1/9/2023,118.96,123.52,117.11,119.77,"190,283,951"
1/6/2023,103,114.39,101.81,113.06,"220,911,051"
1/5/2023,110.51,111.75,107.16,110.34,"157,986,324"
1/4/2023,109.11,114.59,107.52,113.64,"180,388,976"
1/3/2023,118.47,118.8,104.64,108.1,"231,402,818"
12/30/2022,119.95,124.48,119.75,123.18,"157,777,339"
12/29/2022,120.39,123.57,117.5,121.82,"221,923,313"
12/28/2022,110.35,116.27,108.24,112.71,"221,070,537"
12/27/2022,117.5,119.67,108.76,109.1,"208,643,444"
12/23/2022,126.37,128.62,121.02,123.15,"166,989,688"
12/22/2022,136,136.63,122.26,125.35,"210,090,250"
12/21/2022,139.34,141.26,135.89,137.57,"145,417,412"
12/20/2022,146.05,148.47,137.66,137.8,"159,563,267"
12/19/2022,154,155.25,145.82,149.87,"139,390,634"
12/16/2022,159.64,160.99,150.04,150.23,"139,032,175"
12/15/2022,153.44,160.93,153.28,157.67,"122,334,459"
12/14/2022,159.25,161.62,155.31,156.8,"140,682,338"
12/13/2022,174.87,175.05,156.91,160.95,"175,862,722"
12/12/2022,176.1,177.37,167.52,167.82,"109,794,471"
12/9/2022,173.84,182.5,173.36,179.05,"104,872,336"
12/8/2022,172.2,175.2,169.06,173.44,"97,624,491"
12/7/2022,175.03,179.38,172.22,174.04,"84,213,284"
12/6/2022,181.22,183.65,175.33,179.82,"92,150,823"
12/5/2022,189.44,191.27,180.55,182.45,"93,122,667"
12/2/2022,191.78,196.25,191.11,194.86,"73,645,922"
12/1/2022,197.08,198.92,191.8,194.7,"80,046,213"
11/30/2022,182.43,194.76,180.63,194.7,"109,186,404"
11/29/2022,184.99,186.38,178.75,180.83,"83,357,111"
11/28/2022,179.96,188.5,179,182.92,"93,038,148"
11/25/2022,185.06,185.2,180.63,182.86,"50,672,739"
11/23/2022,173.57,183.62,172.5,183.2,"109,536,709"
11/22/2022,168.63,170.92,166.19,169.91,"78,452,327"
11/21/2022,175.85,176.77,167.54,167.87,"92,882,712"
11/18/2022,185.05,185.19,176.55,180.19,"76,048,866"
11/17/2022,183.96,186.16,180.9,183.17,"64,335,970"
11/16/2022,191.51,192.57,185.66,186.92,"66,567,599"
11/15/2022,195.88,200.82,192.06,194.42,"91,293,785"
11/14/2022,192.77,195.73,186.34,190.95,"92,226,649"
11/11/2022,186,196.52,182.59,195.97,"114,403,575"
11/10/2022,189.9,191,180.03,190.72,"132,703,015"
11/9/2022,190.78,195.89,177.12,177.59,"127,062,659"
11/8/2022,194.02,195.2,186.75,191.3,"128,803,404"
11/7/2022,208.65,208.9,196.66,197.08,"93,916,520"
11/4/2022,222.6,223.8,203.08,207.47,"98,622,212"
11/3/2022,211.36,221.2,210.14,215.31,"56,538,848"
11/2/2022,226.04,227.87,214.82,214.98,"63,070,293"
11/1/2022,234.05,237.4,227.28,227.82,"62,688,822"
10/31/2022,226.19,229.85,221.94,227.54,"61,554,341"
10/28/2022,225.4,228.86,216.35,228.52,"69,152,386"
10/27/2022,229.77,233.81,222.85,225.09,"61,638,824"
10/26/2022,219.4,230.6,218.2,224.64,"85,327,078"
10/25/2022,210.1,224.35,210,222.42,"96,507,870"
10/24/2022,205.82,213.5,198.59,211.25,"100,446,765"
10/21/2022,206.42,214.66,203.8,214.44,"75,713,754"
10/20/2022,208.28,215.55,202,207.28,"117,798,062"
10/19/2022,219.8,222.93,217.78,222.04,"66,571,479"
10/18/2022,229.5,229.82,217.25,220.19,"75,891,905"
10/17/2022,210.04,221.86,209.45,219.35,"79,428,810"
10/14/2022,224.01,226.26,204.16,204.99,"94,124,511"
10/13/2022,208.3,222.99,206.22,221.72,"91,483,045"
10/12/2022,215.33,219.3,211.51,217.24,"66,860,699"
10/11/2022,220.95,225.75,215,216.5,"77,013,202"
10/10/2022,223.93,226.99,218.36,222.96,"67,925,018"
10/7/2022,233.94,234.57,222.02,223.07,"83,916,800"
10/6/2022,239.44,244.58,235.35,238.13,"69,298,437"
10/5/2022,245.01,246.67,233.27,240.81,"86,982,673"
10/4/2022,250.52,257.5,242.01,249.44,"109,578,535"
10/3/2022,254.5,255.16,241.01,242.4,"98,363,541"
9/30/2022,266.15,275.57,262.47,265.25,"67,726,598"
9/29/2022,282.76,283.65,265.78,268.21,"77,620,642"
9/28/2022,283.08,289,277.57,287.81,"54,664,809"
9/27/2022,283.84,288.67,277.51,282.94,"61,925,185"
9/26/2022,271.83,284.09,270.31,276.01,"58,076,913"
9/23/2022,283.09,284.5,272.82,275.33,"63,748,362"
9/22/2022,299.86,301.29,285.82,288.59,"70,545,413"
9/21/2022,308.29,313.8,300.63,300.8,"62,555,656"
9/20/2022,306.91,313.33,305.58,308.73,"61,642,783"
9/19/2022,300.09,309.84,297.8,309.07,"60,231,156"
9/16/2022,299.61,303.71,295.6,303.35,"87,087,786"
9/15/2022,301.83,309.12,300.72,303.75,"64,795,523"
9/14/2022,292.24,306,291.64,302.61,"72,628,653"
9/13/2022,292.9,297.4,290.4,292.13,"68,229,619"
9/12/2022,300.72,305.49,300.4,304.42,"48,674,604"
9/9/2022,291.67,299.85,291.25,299.68,"54,470,854"
9/8/2022,281.3,289.5,279.76,289.26,"53,713,124"
9/7/2022,273.1,283.84,272.27,283.7,"50,028,916"
9/6/2022,272.68,275.99,265.74,274.42,"55,859,984"
9/2/2022,281.07,282.35,269.08,270.21,"50,890,090"
9/1/2022,272.58,277.58,266.15,277.16,"54,287,024"
8/31/2022,280.62,281.25,271.81,275.61,"52,107,337"
8/30/2022,287.87,288.48,272.65,277.7,"50,541,759"
8/29/2022,282.83,287.74,280.7,284.82,"41,864,742"
8/26/2022,297.43,302,287.47,288.09,"57,163,947"
8/25/2022,302.36,302.96,291.6,296.07,"53,230,013"
8/24/2022,297.56,303.65,296.5,297.1,"57,259,773.26"
8/23/2022,291.45,298.83,287.92,296.45,"63,985,107.99"
8/22/2022,291.91,292.4,286.3,289.91,"55,843,402.84"
8/19/2022,299,300.36,292.5,296.67,"61,395,448.40"
8/18/2022,306,306.5,301.85,302.87,"47,500,583.50"
8/17/2022,303.4,309.66,300.03,304,"68,766,038.77"
8/16/2022,311.67,314.67,302.88,306.56,"88,136,410.14"
8/15/2022,301.79,313.13,301.23,309.32,"89,359,256.36"
8/12/2022,289.41,300.16,285.03,300.03,"79,657,366.66"
8/11/2022,296.51,298.24,285.83,286.63,"70,155,115.16"
8/10/2022,297.07,297.51,283.37,294.36,"94,918,966.92"
8/9/2022,290.29,292.4,279.35,283.33,"86,244,767.24"
8/8/2022,295,305.2,289.09,290.42,"99,365,373.37"
8/5/2022,302.67,304.61,285.54,288.17,"113,173,010.17"
8/4/2022,311,313.61,305,308.63,"72,256,389.26"
8/3/2022,305,309.55,301.15,307.4,"80,091,185.09"
8/2/2022,294,307.83,292.67,300.59,"95,577,563.58"
8/1/2022,301.27,311.88,295,297.28,"117,043,005.04"
7/29/2022,280.7,298.32,279.1,297.15,"95,312,978.31"
7/28/2022,280.07,283.3,272.8,280.9,"84,723,075.72"
7/27/2022,263.81,275.93,261.79,274.82,"88,110,076.11"
7/26/2022,266.51,267.31,256.26,258.86,"66,820,824.82"
7/25/2022,272.22,274.15,267.4,268.43,"64,073,569.07"
7/22/2022,276.22,280.79,270.71,272.24,"103,472,950.47"
7/21/2022,255.11,273.27,254.87,271.71,"142,032,319.03"
7/20/2022,246.78,250.66,243.48,247.5,"88,864,177.86"
7/19/2022,245,247.14,236.98,245.53,"80,890,190.89"
7/18/2022,244.94,250.52,239.6,240.55,"82,537,510.54"
7/15/2022,240,243.62,236.89,240.07,"69,683,088.68"
7/14/2022,234.9,238.65,229.33,238.31,"78,557,577.56"
7/13/2022,225.5,242.06,225.03,237.04,"97,954,594.95"
7/12/2022,236.85,239.77,228.37,233.07,"87,931,047.93"
7/11/2022,252.1,253.06,233.63,234.34,"99,509,319.51"
7/8/2022,242.33,254.98,241.16,250.76,"101,854,187.85"
7/7/2022,233.92,245.36,232.21,244.54,"81,930,771.93"
7/6/2022,230.78,234.56,227.19,231.73,"71,853,701.85"
7/5/2022,223,233.15,216.17,233.07,"84,779,196.78"
7/1/2022,227,230.23,222.12,227.26,"74,460,518.46"
6/30/2022,224.51,229.46,218.86,224.47,"94,600,546.60"
6/29/2022,230.5,231.17,222.27,228.49,"82,897,336.90"
6/28/2022,244.48,249.97,232.34,232.66,"90,666,591.67"
6/27/2022,249.37,252.07,242.57,244.92,"89,178,401.18"
6/24/2022,237.47,246.07,236.09,245.71,"95,770,790.77"
6/23/2022,237.9,239.32,228.64,235.07,"104,202,782.20"
6/22/2022,234.5,246.83,233.83,236.09,"101,527,361.53"
6/21/2022,224.6,243.58,224.33,237.04,"122,793,077.79"
6/17/2022,213.43,220.97,213.2,216.76,"92,641,862.64"
6/16/2022,222.74,225.17,208.69,213.1,"107,390,807.39"
6/15/2022,220.92,235.66,218.15,233,"119,132,054.13"
6/14/2022,218.29,226.33,211.74,220.89,"97,988,893.99"
6/13/2022,223.17,226.63,214.68,215.74,"102,767,364.77"
6/10/2022,235.16,239.5,227.91,232.23,"98,090,996.09"
6/9/2022,249.34,255.55,239.33,239.71,"96,491,403.49"
6/8/2022,240.09,249.96,239.18,241.87,"76,210,696.21"
6/7/2022,234,240,230.09,238.89,"72,808,674.81"
6/6/2022,244.35,244.87,234.35,238.28,"84,204,606.20"
6/3/2022,243.22,247.8,233.42,234.52,"112,393,849.39"
6/2/2022,244.16,264.21,242.07,258.33,"93,473,211.47"
6/1/2022,251.72,257.33,243.64,246.79,"77,248,040.25"
5/31/2022,257.95,259.6,244.74,252.75,"101,914,472.91"
5/27/2022,241.08,253.27,240.18,253.21,"89,295,071.30"
5/26/2022,220.47,239.56,217.89,235.91,"106,003,450.00"
5/25/2022,207.95,223.11,207.67,219.6,"92,139,416.14"
5/24/2022,217.84,217.97,206.86,209.39,"89,092,604.09"
5/23/2022,218.34,226.65,212.69,224.97,"88,903,726.90"
5/20/2022,238,240.53,211,221.3,"144,973,449.97"
5/19/2022,235.67,244.67,231.37,236.47,"90,296,763.30"
5/18/2022,248.17,253.5,233.6,236.6,"87,811,899.81"
5/17/2022,249.12,254.83,242.95,253.87,"80,236,190.24"
5/16/2022,255.72,256.59,239.7,241.46,"86,098,625.10"
5/13/2022,257.83,262.45,250.52,256.53,"92,150,816.15"
5/12/2022,233.67,253.22,226.67,242.67,"140,313,002.31"
5/11/2022,265,269.92,242.4,244.67,"97,224,556.22"
5/10/2022,273.1,275.12,258.08,266.68,"84,401,715.40"
5/9/2022,278.82,281.88,260.38,262.37,"90,810,312.81"
5/6/2022,295.67,296,281.03,288.55,"72,903,183.90"
5/5/2022,313.07,315.2,285.9,291.09,"92,519,285.52"
5/4/2022,301.31,318.5,295.09,317.54,"81,643,785.64"
5/3/2022,301.06,308.03,296.2,303.08,"63,709,638.71"
5/2/2022,286.92,302.12,282.68,300.98,"75,781,446.78"
4/29/2022,300.75,311.47,290,290.25,"88,133,083.13"
4/28/2022,299.99,300,273.9,292.5,"124,948,651.95"
4/27/2022,299.53,306,292.45,293.84,"76,956,472.96"
4/26/2022,331.81,333.33,291.67,292.14,"136,133,803.13"
4/25/2022,326.32,336.21,325.1,332.67,"68,341,403.34"
4/22/2022,338.3,344.95,331.33,335.02,"69,696,627.70"
4/21/2022,358.24,364.07,332.14,336.26,"105,416,442.42"
4/20/2022,343.33,344.67,325.08,325.73,"70,711,396.71"
4/19/2022,335.02,344.98,331.77,342.72,"49,847,881.85"
4/18/2022,329.68,338.31,324.47,334.76,"51,715,272.72"
4/14/2022,333.1,337.57,327.4,328.33,"58,422,463.42"
4/13/2022,327.02,342.08,324.37,340.79,"55,121,266.12"
4/12/2022,332.55,340.4,325.53,328.98,"65,976,161.98"
4/11/2022,326.8,336.16,324.88,325.31,"59,357,264.36"
4/8/2022,347.74,349.48,340.81,341.83,"55,013,743.01"
4/7/2022,350.8,358.86,340.51,352.42,"79,447,138.45"
4/6/2022,357.82,359.67,342.57,348.59,"89,348,624.35"
4/5/2022,378.77,384.29,362.43,363.75,"80,075,099.08"
4/4/2022,363.13,383.3,357.51,381.82,"82,177,783.18"
4/1/2022,360.38,364.92,355.55,361.53,"54,263,277.26"
3/31/2022,364.86,367.71,358.88,359.2,"48,992,805.99"
3/30/2022,363.72,371.32,361.33,364.66,"59,865,065.87"
3/29/2022,369.33,371.59,357.7,366.52,"73,614,892.61"
3/28/2022,355.03,365.96,351.2,363.95,"102,506,181.51"
3/25/2022,336,340.6,332.44,336.88,"62,031,608.03"
3/24/2022,336.58,341.5,329.6,337.97,"68,920,946.92"
3/23/2022,326.65,346.9,325.47,333.04,"120,676,269.68"
3/22/2022,310,332.62,307.25,331.33,"105,868,662.87"
3/21/2022,304.99,314.28,302.36,307.05,"81,981,729.98"
3/18/2022,291.5,302.62,289.13,301.8,"100,414,291.41"
3/17/2022,277,291.67,275.24,290.53,"66,583,038.58"
3/16/2022,269.67,280.67,267.42,280.08,"84,028,905.03"
3/15/2022,258.42,268.52,252.19,267.3,"66,841,209.84"
3/14/2022,260.2,266.9,252.01,255.46,"71,152,334.15"
3/11/2022,280.07,281.27,264.59,265.12,"67,037,233.04"
3/10/2022,283.82,284.82,270.12,279.43,"58,648,702.65"
3/9/2022,279.83,286.85,277.34,286.32,"59,184,038.18"
3/8/2022,265.18,283.33,260.72,274.8,"80,399,186.40"
3/7/2022,285.43,288.71,268.19,268.19,"72,494,244.49"
3/4/2022,283.03,285.22,275.05,279.43,"67,179,928.18"
3/3/2022,292.92,295.48,277.53,279.76,"61,623,568.62"
3/2/2022,290.71,295.49,281.42,293.3,"74,643,512.64"
3/1/2022,289.89,296.63,284.59,288.12,"74,766,935.77"
2/28/2022,271.67,292.29,271.57,290.14,"99,006,966.01"
2/25/2022,269.74,273.17,260.8,269.96,"76,067,839.07"
2/24/2022,233.46,267.49,233.33,266.92,"135,322,410.32"
2/23/2022,276.81,278.43,253.52,254.68,"95,257,103.26"
2/22/2022,278.04,285.58,267.03,273.84,"83,288,285.29"
2/18/2022,295.33,295.62,279.2,285.66,"68,501,909.50"
2/17/2022,304.42,306.17,291.37,292.12,"55,178,473.18"
2/16/2022,304.68,308.81,300.4,307.8,"51,294,447.29"
2/15/2022,300,307.67,297.79,307.48,"57,649,599.65"
2/14/2022,287.19,299.63,284.38,291.92,"67,756,483.76"
2/11/2022,303.21,305.32,283.57,286.67,"79,645,948.65"
2/10/2022,302.79,314.6,298.9,301.52,"66,126,897.13"
2/9/2022,311.67,315.42,306.67,310.67,"52,259,596.26"
2/8/2022,301.84,308.76,298.27,307.33,"50,729,063.73"
2/7/2022,307.93,315.92,300.9,302.45,"60,994,524.99"
2/4/2022,299.07,312.17,293.72,307.77,"73,625,539.63"
2/3/2022,294,312.33,293.51,297.05,"78,855,636.86"
2/2/2022,309.39,310.5,296.47,301.89,"66,793,101.79"
2/1/2022,311.74,314.57,301.67,310.42,"73,138,411.14"
1/31/2022,290.9,312.66,287.35,312.24,"104,436,200.44"
1/28/2022,277.19,285.83,264,282.12,"134,789,084.79"
1/27/2022,311.12,311.8,276.33,276.37,"147,109,716.11"
1/26/2022,317.48,329.23,302,312.47,"104,867,387.87"
1/25/2022,304.73,317.09,301.07,306.13,"86,595,992.60"
1/24/2022,301.59,311.17,283.82,310,"152,375,294.38"
1/21/2022,332.11,334.85,313.5,314.63,"103,416,130.42"
1/20/2022,336.58,347.22,331.33,332.09,"70,488,814.49"
1/19/2022,347.23,351.56,331.67,331.88,"75,442,563.44"
1/18/2022,342.2,356.93,338.69,343.5,"66,989,475.99"
1/14/2022,339.96,350.67,337.79,349.87,"72,924,483.92"
1/13/2022,369.69,371.87,342.18,343.85,"97,209,889.21"
1/12/2022,359.62,371.61,357.53,368.74,"83,739,098.74"
1/11/2022,351.22,358.62,346.27,354.8,"66,063,276.06"
1/10/2022,333.33,353.03,326.67,352.71,"91,814,968.81"
1/7/2022,360.12,360.31,336.67,342.32,"84,164,832.16"
1/6/2022,359,362.67,340.17,354.9,"90,336,564.34"
1/5/2022,382.22,390.11,360.34,362.71,"80,119,877.12"
1/4/2022,396.52,402.67,374.35,383.2,"100,248,358.25"
1/3/2022,382.58,400.36,378.68,399.93,"104,686,151.69"
12/31/2021,357.81,360.67,351.53,352.26,"40,733,665.73"
12/30/2021,353.78,365.18,351.05,356.78,"47,040,986.04"
12/29/2021,366.21,368,354.71,362.06,"56,154,101.15"
12/28/2021,369.83,373,359.47,362.82,"60,323,967.32"
12/27/2021,357.89,372.33,356.9,364.65,"71,145,890.15"
12/23/2021,335.6,357.66,332.52,355.67,"92,713,379.71"
12/22/2021,321.89,338.55,319.02,336.29,"93,634,179.63"
12/21/2021,305.62,313.17,295.37,312.84,"71,517,986.52"
12/20/2021,303.57,307.23,297.8,299.98,"56,480,069.48"
12/17/2021,304.92,320.22,303.01,310.86,"100,880,362.88"
12/16/2021,331.5,331.66,307.28,308.97,"82,771,531.77"
12/15/2021,317.74,326.25,309.42,325.33,"75,169,305.17"
12/14/2021,315,322.14,310,319.5,"70,806,340.81"
12/13/2021,333.7,335,317.14,322.14,"78,595,584.60"
12/10/2021,336.25,340.33,327.51,339.01,"59,664,425.66"
12/9/2021,353.55,354.16,334.12,334.6,"59,438,555.44"
12/8/2021,350.9,357.46,344.33,356.32,"41,906,411.91"
12/7/2021,348.07,352.56,342.27,350.58,"56,084,627.08"
12/6/2021,333.84,340.55,316.83,336.34,"81,663,192.66"
12/3/2021,361.6,363.52,333.4,338.32,"92,322,077.32"
12/2/2021,366.35,371,352.22,361.53,"73,114,942.11"
12/1/2021,386.9,390.95,363.59,365,"68,804,162.80"
11/30/2021,381.46,389.33,372.67,381.59,"81,276,195.28"
11/29/2021,367,380.89,366.73,379,"58,393,459.39"
11/26/2021,366.49,369.59,360.33,360.64,"35,042,705.04"
11/24/2021,360.13,377.59,354,372,"67,680,781.68"
11/23/2021,389.17,393.5,354.23,369.68,"108,515,208.52"
11/22/2021,387.44,400.65,377.48,385.62,"99,217,626.22"
11/19/2021,366.29,379.57,364.23,379.02,"64,926,838.93"
11/18/2021,368.85,370.67,358.34,365.46,"62,696,852.70"
11/17/2021,354.5,373.21,351.83,363,"94,336,189.34"
11/16/2021,334.44,352.4,334.06,351.58,"79,627,156.63"
11/15/2021,339.21,343.99,326.2,337.8,"104,327,051.33"
11/12/2021,349.17,351.5,339.73,344.47,"76,719,520.72"
11/11/2021,367.59,368.32,351.56,354.5,"67,189,771.19"
11/10/2021,336.8,359.37,329.1,355.98,"128,408,294.41"
11/9/2021,391.2,391.5,337.17,341.17,"177,317,685.32"
11/8/2021,383.26,399,377.67,387.65,"100,337,245.34"
11/5/2021,409.33,413.29,402.67,407.36,"64,886,500.89"
11/4/2021,411.47,414.5,405.67,409.97,"76,192,306.19"
11/3/2021,392.44,405.13,384.21,404.62,"103,885,660.89"
11/2/2021,386.45,402.86,382,390.67,"128,213,519.21"
11/1/2021,381.67,403.25,372.89,402.86,"168,146,316.15"
10/29/2021,360.62,371.74,357.73,371.33,"89,755,340.76"
10/28/2021,356.1,360.33,351.4,359.01,"81,639,600.64"
10/27/2021,346.55,356.96,343.59,345.95,"115,579,492.58"
10/26/2021,341.56,364.98,333.81,339.48,"187,245,091.25"
10/25/2021,316.84,348.34,314.73,341.62,"188,556,485.56"
10/22/2021,298.5,303.33,296.99,303.23,"68,642,573.64"
10/21/2021,285.33,300,285.17,298,"94,444,456.44"
10/20/2021,288.45,289.83,285.79,288.6,"42,096,198.10"
10/19/2021,292.51,292.65,287.5,288.09,"52,143,436.14"
10/18/2021,283.93,291.75,283.82,290.04,"72,621,804.62"
10/15/2021,274.58,281.07,274.12,281.01,"56,773,757.77"
10/14/2021,271.83,273.42,271.12,272.77,"36,741,546.74"
10/13/2021,270.16,271.8,268.59,270.36,"42,360,267.36"
10/12/2021,266.98,270.77,265.52,268.57,"66,060,186.06"
10/11/2021,262.55,267.08,261.83,263.98,"42,601,008.60"
10/8/2021,265.4,265.46,260.3,261.83,"50,215,862.22"
10/7/2021,261.82,268.33,261.13,264.54,"57,587,403.59"
10/6/2021,258.73,262.22,257.74,260.92,"43,898,347.90"
10/5/2021,261.6,265.77,258.07,260.2,"55,297,930.30"
10/4/2021,265.5,268.99,258.71,260.51,"91,450,114.45"
10/1/2021,259.47,260.26,254.53,258.41,"51,094,293.09"
9/30/2021,260.33,263.04,258.33,258.49,"53,867,936.87"
9/29/2021,259.93,264.5,256.89,260.44,"62,828,693.83"
9/28/2021,262.4,265.21,255.39,259.19,"76,144,342.14"
9/27/2021,257.71,266.33,256.44,263.79,"84,212,055.21"
9/24/2021,248.63,258.27,248.19,258.13,"64,119,130.12"
9/23/2021,251.67,252.73,249.31,251.21,"35,842,616.84"
9/22/2021,247.84,251.22,246.37,250.65,"45,378,861.38"
9/21/2021,244.93,248.25,243.48,246.46,"48,992,217.99"
9/20/2021,244.85,247.33,239.54,243.39,"74,273,030.27"
9/17/2021,252.38,253.68,250,253.16,"84,612,612.61"
