,NVDA (NASD),,,,
Date,Open,High,Low,Close,Volume
2/4/2022,23.97,24.63,23.63,24.32,"354,828,500"
2/3/2022,24.46,25.08,23.78,23.95,"410,177,780"
2/2/2022,25.79,25.82,24.55,25.24,"543,419,410"
2/1/2022,25.1,25.15,23.89,24.64,"518,925,170"
1/31/2022,23.18,24.51,23.05,24.49,"564,679,680"
1/28/2022,22.01,22.86,21.3,22.84,"543,774,250"
1/27/2022,23.57,23.99,21.68,21.94,"573,352,720"
1/26/2022,23.24,24.06,22.3,22.77,"755,958,730"
1/25/2022,22.55,22.94,22,22.32,"664,616,360"
1/24/2022,22.33,23.38,20.89,23.37,"915,810,630"
1/21/2022,23.51,24.82,23.26,23.37,"718,957,840"
1/20/2022,25.3,25.58,24.08,24.15,"435,180,730"
1/19/2022,26.08,26.54,25.05,25.07,"488,314,510"
1/18/2022,26.26,26.64,25.77,25.9,"425,306,170"
1/14/2022,26.3,27.2,26.21,26.94,"395,832,350"
1/13/2022,28.38,28.48,26.5,26.58,"538,868,090"
1/12/2022,28.07,28.6,27.61,28,"383,413,480"
1/11/2022,27.32,28.06,26.84,27.82,"404,089,290"
1/10/2022,26.58,27.47,25.64,27.4,"594,680,950"
1/7/2022,28.14,28.42,27.06,27.25,"409,938,510"
1/6/2022,27.64,28.44,27.06,28.18,"454,186,370"
1/5/2022,28.95,29.42,27.53,27.6,"498,063,880"
1/4/2022,30.28,30.47,28.35,29.29,"527,154,400"
1/3/2022,29.81,30.71,29.79,30.12,"392,402,940"
12/31/2021,29.67,30.03,29.33,29.41,"266,529,910"
12/30/2021,29.83,30.46,29.54,29.59,"308,864,220"
12/29/2021,30.27,30.55,29.37,30,"343,139,280"
12/28/2021,31.31,31.33,30.01,30.32,"420,591,210"
12/27/2021,29.66,31.09,29.64,30.95,"403,685,870"
12/23/2021,29.76,30.06,29.43,29.64,"343,021,740"
12/22/2021,28.89,29.56,28.45,29.4,"395,184,380"
12/21/2021,28.37,29.12,27.4,29.08,"524,384,940"
12/20/2021,27.31,28.14,27.15,27.72,"461,846,760"
12/17/2021,27.99,28.92,27.76,27.8,"716,622,390"
12/16/2021,31.15,31.16,28.09,28.39,"707,365,950"
12/15/2021,28.4,30.5,27.84,30.46,"698,296,880"
12/14/2021,27.7,28.68,27.25,28.34,"667,035,370"
12/13/2021,30.25,30.29,28.12,28.16,"598,343,660"
12/10/2021,31.15,31.31,29.86,30.2,"488,825,090"
12/9/2021,31.73,32.21,30.43,30.49,"488,507,160"
12/8/2021,32,32.29,31.42,31.83,"475,551,450"
12/7/2021,30.96,32.45,30.65,32.43,"593,053,480"
12/6/2021,29.88,30.24,28.04,30.04,"658,938,450"
12/3/2021,32,32.13,30.13,30.69,"544,325,050"
12/2/2021,31.21,32.48,31.03,32.13,"472,890,330"
12/1/2021,33.22,33.29,31.38,31.44,"485,802,040"
11/30/2021,33.17,33.35,31.86,32.68,"622,066,470"
11/29/2021,32.37,33.41,32.04,33.38,"454,963,980"
11/26/2021,32.6,32.71,31.35,31.5,"283,068,860"
11/24/2021,31.46,32.86,30.93,32.67,"435,162,260"
11/23/2021,31.54,32.36,30.88,31.75,"532,162,700"
11/22/2021,33.52,34.65,31.9,31.96,"754,335,240"
11/19/2021,32.24,33.09,31.91,32.99,"533,866,650"
11/18/2021,32.37,32.76,31.32,31.68,"781,710,750"
11/17/2021,30.42,30.51,28.8,29.26,"428,507,990"
11/16/2021,29.76,30.39,29.71,30.2,"264,483,670"
11/15/2021,30.55,30.64,29.25,30.03,"384,909,000"
11/12/2021,30.01,30.68,29.63,30.39,"413,054,280"
11/11/2021,30.47,30.59,29.78,30.39,"332,172,110"
11/10/2021,29.36,30.85,28.78,29.46,"636,205,720"
11/9/2021,32.28,32.31,29.96,30.66,"646,746,210"
11/8/2021,30.15,31.1,29.91,30.8,"503,100,930"
11/5/2021,30.19,31.4,29.41,29.75,"851,260,150"
11/4/2021,27.23,31.37,27.12,29.8,"1,153,631,150"
11/3/2021,26.67,26.78,26.24,26.6,"239,910,330"
11/2/2021,25.82,26.68,25.8,26.4,"294,112,390"
11/1/2021,25.65,25.89,25.23,25.83,"265,739,760"
10/29/2021,25,25.71,25,25.57,"292,502,840"
10/28/2021,24.88,24.95,24.52,24.94,"234,204,310"
10/27/2021,24.47,25.09,24.28,24.45,"245,989,890"
10/26/2021,23.99,25.26,23.92,24.72,"485,898,300"
10/25/2021,22.97,23.35,22.77,23.17,"230,234,830"
10/22/2021,22.82,23.13,22.56,22.73,"249,383,790"
10/21/2021,22.1,22.71,22.08,22.69,"187,590,320"
10/20/2021,22.3,22.43,21.98,22.1,"146,275,940"
10/19/2021,22.28,22.38,22.04,22.29,"161,473,290"
10/18/2021,21.75,22.29,21.64,22.22,"189,493,560"
10/15/2021,21.81,21.93,21.66,21.86,"226,994,010"
10/14/2021,21.29,21.76,21.12,21.75,"243,588,810"
10/13/2021,20.92,20.99,20.71,20.94,"180,651,880"
10/12/2021,20.83,21.06,20.53,20.67,"162,133,540"
10/11/2021,20.58,21.06,20.51,20.7,"163,387,540"
10/8/2021,21.1,21.21,20.78,20.83,"151,257,910"
10/7/2021,21.09,21.32,20.97,21.08,"256,918,930"
10/6/2021,20.12,20.72,20.08,20.7,"297,201,750"
10/5/2021,19.95,20.65,19.85,20.45,"279,281,650"
10/4/2021,20.5,20.54,19.56,19.73,"345,634,970"
10/1/2021,20.75,20.86,20.2,20.74,"240,977,960"
9/30/2021,20.77,21.07,20.69,20.72,"221,009,120"
9/29/2021,20.94,21.02,20.47,20.52,"218,393,630"
9/28/2021,21.21,21.42,20.65,20.7,"343,068,950"
9/27/2021,21.71,21.8,21.33,21.66,"245,215,140"
9/24/2021,22.07,22.15,21.86,22.08,"217,655,450"
9/23/2021,22.14,22.53,21.89,22.48,"248,554,910"
9/22/2021,21.37,21.96,21.2,21.94,"268,725,560"
9/21/2021,21.42,21.43,20.95,21.25,"204,688,100"
9/20/2021,21.15,21.43,20.66,21.11,"349,440,450"
9/17/2021,22.3,22.32,21.83,21.9,"294,502,840"
9/16/2021,22.18,22.28,21.93,22.24,"156,033,440"
9/15/2021,22.31,22.37,21.97,22.34,"166,538,010"
9/14/2021,22.28,22.41,22.09,22.24,"199,754,600"
9/13/2021,22.68,22.96,21.86,22.15,"297,499,900"
9/10/2021,22.35,22.63,22.27,22.48,"248,375,740"
9/9/2021,22.31,22.54,22.13,22.18,"196,856,010"
9/8/2021,22.51,22.61,21.98,22.34,"254,434,210"
9/7/2021,22.83,22.9,22.52,22.66,"198,107,160"
9/3/2021,22.33,22.99,22.2,22.84,"280,831,980"
9/2/2021,22.52,22.59,22.29,22.4,"188,109,570"
9/1/2021,22.49,22.7,22.36,22.44,"201,766,950"
8/31/2021,22.7,22.7,22.12,22.38,"259,849,680"
8/30/2021,22.83,23.04,22.55,22.69,"262,579,900"
8/27/2021,22.18,22.72,22.17,22.64,"304,722,190"
8/26/2021,22.2,22.34,21.79,22.07,"237,940,420"
8/25/2021,21.74,22.47,21.72,22.21,"347,701,040"
8/24/2021,21.75,21.96,21.54,21.79,"297,298,920"
8/23/2021,20.97,22,20.95,21.96,"575,806,580"
8/20/2021,19.99,20.87,19.93,20.82,"675,741,310"
8/19/2021,19.49,20.49,18.76,19.8,"766,554,770"
8/18/2021,19.5,19.63,19,19.04,"285,913,480"
8/17/2021,19.69,19.77,19.27,19.46,"204,584,850"
8/16/2021,20.13,20.29,19.45,19.95,"211,152,800"
8/13/2021,19.91,20.21,19.85,20.19,"183,062,860"
8/12/2021,19.87,20.03,19.62,19.91,"151,861,550"
8/11/2021,20.04,20.05,19.43,19.7,"185,924,840"
8/10/2021,20.32,20.43,19.83,19.94,"179,237,780"
8/9/2021,20.45,20.51,20.14,20.29,"146,443,100"
8/6/2021,20.52,20.57,20.21,20.37,"178,496,610"
8/5/2021,20.5,20.73,20.34,20.64,"211,435,370"
8/4/2021,19.99,20.32,19.83,20.27,"231,309,400"
8/3/2021,19.74,20.22,19.22,19.82,"301,810,740"
8/2/2021,19.7,19.96,19.36,19.75,"217,443,970"
7/30/2021,19.42,19.63,19.26,19.5,"183,497,460"
7/29/2021,19.52,19.85,19.33,19.66,"190,780,880"
7/28/2021,19.32,19.65,18.99,19.5,"202,191,150"
7/27/2021,19.27,19.62,18.74,19.21,"248,862,580"
7/26/2021,19.31,19.44,18.91,19.29,"203,943,160"
7/23/2021,19.66,19.7,19.25,19.56,"195,671,980"
7/22/2021,19.64,19.89,19.28,19.59,"323,825,950"
7/21/2021,18.88,19.53,18.74,19.41,"371,017,360"
7/20/2021,18.73,18.84,18.16,18.61,"434,686,540"
7/19/2021,17.92,19.04,17.87,18.78,"749,058,760"
7/16/2021,19.03,19.16,18.07,18.16,"688,222,640"
7/15/2021,19.81,19.85,18.86,18.97,"550,564,520"
7/14/2021,20.36,20.42,19.75,19.84,"380,099,200"
7/13/2021,20.4,20.46,20.11,20.25,"290,706,320"
7/12/2021,20.24,20.53,20.19,20.51,"321,984,760"
7/9/2021,19.96,20.08,19.75,20.05,"296,622,680"
7/8/2021,19.86,20.13,19.7,19.9,"503,299,680"
7/7/2021,20.85,20.88,20.33,20.37,"418,427,280"
7/6/2021,20.74,20.84,20.35,20.7,"446,707,480"
7/2/2021,20.44,20.51,20.29,20.49,"343,396,680"
7/1/2021,20.13,20.46,20.02,20.21,"480,134,960"
6/30/2021,20,20.16,19.86,20,"326,566,160"
6/29/2021,19.88,20.1,19.66,20.03,"367,633,840"
6/28/2021,19.36,20.08,19.32,19.99,"495,436,560"
6/25/2021,19.28,19.35,18.89,19.03,"278,365,920"
6/24/2021,19.23,19.42,19.09,19.21,"320,922,400"
6/23/2021,19.01,19.15,18.91,19.06,"332,357,040"
6/22/2021,18.47,18.96,18.39,18.89,"580,145,560"
6/21/2021,18.44,18.54,17.82,18.43,"672,382,160"
6/18/2021,18.78,19.38,18.58,18.64,"968,854,280"
6/17/2021,17.77,18.84,17.76,18.66,"809,654,880"
6/16/2021,17.79,17.95,17.58,17.81,"307,122,600"
6/15/2021,17.92,18.02,17.73,17.79,"243,030,440"
6/14/2021,17.91,18.04,17.66,18.02,"321,374,280"
6/11/2021,17.48,17.94,17.44,17.83,"416,307,640"
6/10/2021,17.35,17.49,17.18,17.43,"287,770,440"
6/9/2021,17.52,17.58,17.26,17.36,"381,657,480"
6/8/2021,17.53,17.62,17.25,17.46,"323,846,760"
6/7/2021,17.57,17.81,17.19,17.62,"575,754,920"
6/4/2021,17.11,17.66,17.1,17.58,"617,120,280"
6/3/2021,16.7,17.26,16.58,16.97,"580,006,800"
6/2/2021,16.25,16.92,16.24,16.78,"594,167,560"
6/1/2021,16.27,16.39,15.9,16.26,"472,803,000"
5/28/2021,15.5,16.28,15.5,16.24,"644,535,600"
5/27/2021,15.7,15.75,15.46,15.49,"581,475,200"
5/26/2021,15.73,15.79,15.59,15.7,"370,438,640"
5/25/2021,15.77,15.82,15.48,15.65,"435,406,880"
5/24/2021,15.21,15.75,15.18,15.61,"554,816,200"
5/21/2021,15.16,15.22,14.87,14.99,"672,992,000"
5/20/2021,14.3,14.68,14.27,14.61,"321,591,920"
5/19/2021,13.57,14.08,13.54,14.07,"343,999,360"
5/18/2021,14.27,14.4,14,14.02,"186,254,240"
5/17/2021,14.16,14.17,13.85,14.17,"216,980,840"
5/14/2021,13.89,14.33,13.75,14.24,"258,615,000"
5/13/2021,14.03,14.08,13.46,13.67,"285,727,480"
5/12/2021,14.01,14.26,13.71,13.76,"303,409,320"
5/11/2021,13.83,14.35,13.75,14.31,"285,585,360"
5/10/2021,14.79,14.81,14.25,14.27,"268,903,800"
5/7/2021,14.81,14.97,14.67,14.81,"229,327,320"
5/6/2021,14.5,14.57,14.22,14.52,"193,380,920"
5/5/2021,14.71,14.81,14.39,14.46,"292,023,040"
5/4/2021,14.64,14.64,14.01,14.35,"405,324,800"
5/3/2021,15.13,15.25,14.79,14.84,"203,911,840"
4/30/2021,15.17,15.36,15,15.01,"201,910,080"
4/29/2021,15.4,15.44,15.07,15.32,"173,196,480"
4/28/2021,15.36,15.53,15.22,15.28,"209,416,200"
4/27/2021,15.58,15.67,15.35,15.38,"164,573,000"
4/26/2021,15.19,15.48,15.13,15.48,"197,797,080"
4/23/2021,14.93,15.33,14.9,15.27,"227,772,200"
4/22/2021,15.38,15.44,14.78,14.85,"277,786,280"
4/21/2021,15.12,15.36,15.1,15.36,"216,777,040"
4/20/2021,15.32,15.5,14.96,15.17,"334,133,040"
4/19/2021,15.54,15.81,15.23,15.36,"404,418,080"
4/16/2021,16.05,16.17,15.87,15.91,"335,207,560"
4/15/2021,15.66,16.21,15.63,16.14,"598,480,680"
4/14/2021,15.63,15.72,15.23,15.28,"385,501,920"
4/13/2021,15.23,15.7,15.13,15.68,"676,211,880"
4/12/2021,14.29,15.35,14.14,15.21,"869,322,000"
4/9/2021,14.21,14.41,14.18,14.4,"195,170,880"
4/8/2021,14.25,14.47,14.25,14.32,"244,414,920"
4/7/2021,13.88,14.24,13.71,14.14,"251,284,360"
4/6/2021,14,14.05,13.77,13.86,"191,745,960"
4/5/2021,13.87,14.01,13.73,13.99,"255,671,400"
4/1/2021,13.57,13.87,13.51,13.81,"308,274,600"
3/31/2021,13.02,13.47,12.98,13.35,"314,777,520"
3/30/2021,12.84,12.98,12.71,12.87,"200,202,480"
3/29/2021,12.82,13.06,12.7,12.95,"273,519,880"
3/26/2021,12.55,12.86,12.37,12.84,"363,968,960"
3/25/2021,12.5,12.71,12.27,12.54,"295,144,560"
3/24/2021,13.15,13.16,12.64,12.64,"245,838,520"
3/23/2021,13.25,13.34,13.02,13.07,"222,046,080"
3/22/2021,12.91,13.39,12.91,13.19,"297,803,080"
3/19/2021,12.75,12.92,12.61,12.85,"299,206,960"
3/18/2021,13.14,13.18,12.72,12.72,"294,188,080"
3/17/2021,13.04,13.45,12.99,13.34,"243,864,200"
3/16/2021,13.36,13.51,13.12,13.29,"272,129,600"
3/15/2021,12.86,13.21,12.77,13.19,"222,520,440"
3/12/2021,12.65,12.89,12.59,12.86,"243,963,960"
3/11/2021,12.95,13.05,12.73,12.99,"299,914,280"
3/10/2021,12.84,12.98,12.46,12.47,"384,376,560"
3/9/2021,12.13,12.62,12.06,12.52,"521,825,520"
3/8/2021,12.45,12.47,11.57,11.59,"543,111,680"
3/5/2021,12.55,12.55,11.68,12.46,"542,838,840"
3/4/2021,12.8,12.98,12.08,12.37,"573,345,160"
3/3/2021,13.43,13.45,12.8,12.8,"377,590,280"
3/2/2021,13.9,13.92,13.4,13.41,"264,114,120"
3/1/2021,13.88,13.93,13.55,13.84,"353,183,000"
2/26/2021,13.75,13.85,13.36,13.71,"500,930,400"
2/25/2021,14.05,14.37,13.22,13.31,"824,436,040"
2/24/2021,14.12,14.51,13.76,14.5,"448,319,080"
2/23/2021,14.08,14.24,13.39,14.14,"391,779,320"
2/22/2021,14.77,15.13,14.33,14.36,"325,885,560"
2/19/2021,15.02,15.18,14.85,14.93,"271,724,120"
2/18/2021,14.73,14.87,14.58,14.83,"234,080,800"
2/17/2021,15.17,15.22,14.78,14.91,"275,698,680"
2/16/2021,15.06,15.37,14.95,15.33,"321,959,520"
2/12/2021,15.05,15.29,14.78,14.96,"374,757,480"
2/11/2021,14.98,15.27,14.93,15.25,"450,827,720"
2/10/2021,14.46,14.91,14.34,14.76,"485,352,320"
2/9/2021,14.34,14.58,14.22,14.26,"287,560,120"
2/8/2021,13.73,14.47,13.73,14.44,"434,622,840"
2/5/2021,13.73,13.74,13.55,13.59,"169,153,640"
2/4/2021,13.53,13.67,13.34,13.66,"201,338,480"
2/3/2021,13.64,13.93,13.52,13.53,"245,409,280"
2/2/2021,13.4,13.57,13.29,13.56,"220,438,280"
2/1/2021,13.05,13.27,12.9,13.24,"217,204,320"
1/29/2021,13.08,13.33,12.91,12.99,"271,552,040"
1/28/2021,13,13.34,12.96,13.05,"228,315,960"
1/27/2021,13.23,13.23,12.79,12.92,"371,272,840"
1/26/2021,13.58,13.64,13.39,13.44,"163,980,400"
1/25/2021,13.78,13.83,13.24,13.65,"251,111,160"
1/22/2021,13.74,13.84,13.63,13.71,"246,818,560"
1/21/2021,13.42,14,13.25,13.87,"338,339,600"
1/20/2021,13.11,13.43,13.06,13.37,"258,570,880"
1/19/2021,13.02,13.09,12.84,13.03,"226,186,880"
1/15/2021,13.23,13.33,12.85,12.86,"277,781,280"
1/14/2021,13.58,13.6,13.18,13.2,"283,120,280"
1/13/2021,13.49,13.62,13.39,13.53,"210,028,440"
1/12/2021,13.75,13.75,13.34,13.48,"291,477,720"
1/11/2021,13.42,13.96,13.36,13.62,"519,028,800"
1/8/2021,13.36,13.42,13.04,13.28,"292,528,600"
1/7/2021,12.97,13.38,12.89,13.34,"461,481,480"
1/6/2021,13.22,13.25,12.59,12.61,"580,423,000"
1/5/2021,13.1,13.44,13.09,13.4,"322,759,920"
1/4/2021,13.1,13.65,12.96,13.11,"560,641,800"
12/31/2020,13.14,13.15,12.92,13.06,"192,424,400"
12/30/2020,12.99,13.21,12.9,13.15,"225,397,160"
12/29/2020,12.93,13.07,12.84,12.94,"170,372,160"
12/28/2020,13.06,13.06,12.76,12.9,"212,565,640"
